ABC,SPECIES/GROUP,COMPOSITION,TAXON,SA species (Y/N),National Bycatch species
156,"MACKERELS, OTHER (FAMILY: Scombridae)","MACKEREL, UNC",Scomber ,,Y
157,"MARLIN, UNC",Unclassified Marlin Species,Istiophoridae,,Y
158,"MENHADEN, UNC",Unclassified Menhaden Species,Brevoortia,,Y
160,NIGHT SHARK,Individual,Carcharhinus signatus,,Y
165,PANDALID SHRIMP (NORTHERN),Individual,Pandalus borealis,,Y
166,"PELAGIC SHARK, UNC",Unclassified Pelagic Shark Species,Lamniformes,,Y
167,"PELAGIC SPECIES, OTHER","JELLYFISH, UNC",Scyphozoa,,Y
168,"PENAEID SHRIMP (SOUTHERN), UNC",Unclassified Penaeid Shrimp (Southern) Species,Penaeus,,Y
169,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",BIGSCALE POMFRET,Taractichthys longipin,,Y
170,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)","EELPOUT, UNC",Zoarcidae,,Y
171,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",NORTHERN STARGAZER,Astroscopus guttatus,,Y
172,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",NORTHERN WOLFFISH,Anarhichas denticulatus,,Y
173,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",ROCK GUNNEL,Pholis gunnellus,,Y
174,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)","SAND LANCE, UNC",Ammodytes,,Y
175,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)","SHANNY, UNC",Stichaeidae,,Y
176,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",SNAKE BLENNY,Lumpenus lampretaeform,,Y
177,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",WHITE PERCH,Morone americana,,Y
178,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",WRECKFISH,Polyprion americanus,,Y
179,"PERCIFORMES, OTHER (DEMERSAL) (ORDER: Perciformes)",WRYMOUTH,Cryptacanthodes maculatus,,Y
180,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)","BARRACUDA, UNC",Sphyraenidae,,Y
