"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"MONKFISH","164499","012",511,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,511,"stock","UNIT",1
"POLLOCK","164727","269",511,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",511,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",511,"stock","UNIT",1
"RED CRAB","620992","710",511,"stock","UNIT",1
"RED HAKE","164730","152",511,"stock","NORTHERN",1
"REDFISH","166774","240",511,"stock","UNIT",1
"SCALLOP, SEA","079718","800",511,"stock","UNIT",1
"SCUP","169182","329",511,"stock","UNIT",1
"SILVER HAKE","164791","509",511,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",511,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",511,"stock","UNIT",1
"SKATE, LITTLE","564130","366",511,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",511,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",511,"stock","UNIT",1
"SKATE, THORNY","564149","370",511,"stock","UNIT",1
"SKATE, WINTER","564145","367",511,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",511,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",511,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",511,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",511,"stock","UNIT",1
"WINDOWPANE","172746","125",511,"stock","GBGOM",1
"WINTER FLD","172905","120",511,"stock","GOM",1
"WITCH FLD","172873","122",511,"stock","UNIT",1
"WOLFFISH","171341","512",511,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",511,"stock","CCGOM",1
"ALEWIFE","161706","001",512,"stock","UNIT",1
"AM SHAD","161702","347",512,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",512,"stock","UNIT",1
"BLACK SEA BASS","167687","335",512,"stock","UNIT",1
"BLUEFISH","168559","023",512,"stock","UNIT",1
"BUTTERFISH","172567","051",512,"stock","UNIT",1
"CHUB MACKEREL","172413","215",512,"stock","UNIT",1
"CLAM, SURF","080944","769",512,"stock","UNIT",1
"COD","164712","081",512,"stock","GOM",1
"DOGFISH, SPINY","160617","352",512,"stock","UNIT",1
"FLUKE","172735","121",512,"stock","UNIT",1
"HADDOCK","164744","147",512,"stock","GOM",1
"HAKE, WHITE","164732","153",512,"stock","UNIT",1
"HALIBUT","172933","159",512,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",512,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",512,"stock","UNIT",1
"MONKFISH","164499","012",512,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,512,"stock","UNIT",1
"POLLOCK","164727","269",512,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",512,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",512,"stock","UNIT",1
"RED CRAB","620992","710",512,"stock","UNIT",1
"RED HAKE","164730","152",512,"stock","NORTHERN",1
"REDFISH","166774","240",512,"stock","UNIT",1
"SCALLOP, SEA","079718","800",512,"stock","UNIT",1
"SCUP","169182","329",512,"stock","UNIT",1
"SILVER HAKE","164791","509",512,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",512,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",512,"stock","UNIT",1
"SKATE, LITTLE","564130","366",512,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",512,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",512,"stock","UNIT",1
"SKATE, THORNY","564149","370",512,"stock","UNIT",1
"SKATE, WINTER","564145","367",512,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",512,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",512,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",512,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",512,"stock","UNIT",1
"WINDOWPANE","172746","125",512,"stock","GBGOM",1
"WINTER FLD","172905","120",512,"stock","GOM",1
"WITCH FLD","172873","122",512,"stock","UNIT",1
"WOLFFISH","171341","512",512,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",512,"stock","CCGOM",1
"ALEWIFE","161706","001",513,"stock","UNIT",1
"AM SHAD","161702","347",513,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",513,"stock","UNIT",1
"BLACK SEA BASS","167687","335",513,"stock","UNIT",1
"BLUEFISH","168559","023",513,"stock","UNIT",1
"BUTTERFISH","172567","051",513,"stock","UNIT",1
"CHUB MACKEREL","172413","215",513,"stock","UNIT",1
"CLAM, SURF","080944","769",513,"stock","UNIT",1
"COD","164712","081",513,"stock","GOM",1
"DOGFISH, SPINY","160617","352",513,"stock","UNIT",1
"FLUKE","172735","121",513,"stock","UNIT",1
"HADDOCK","164744","147",513,"stock","GOM",1
"HAKE, WHITE","164732","153",513,"stock","UNIT",1
"HALIBUT","172933","159",513,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",513,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",513,"stock","UNIT",1
"MONKFISH","164499","012",513,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,513,"stock","UNIT",1
"POLLOCK","164727","269",513,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",513,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",513,"stock","UNIT",1
"RED CRAB","620992","710",513,"stock","UNIT",1
"RED HAKE","164730","152",513,"stock","NORTHERN",1
"REDFISH","166774","240",513,"stock","UNIT",1
"SCALLOP, SEA","079718","800",513,"stock","UNIT",1
"SCUP","169182","329",513,"stock","UNIT",1
"SILVER HAKE","164791","509",513,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",513,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",513,"stock","UNIT",1
"SKATE, LITTLE","564130","366",513,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",513,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",513,"stock","UNIT",1
"SKATE, THORNY","564149","370",513,"stock","UNIT",1
"SKATE, WINTER","564145","367",513,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",513,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",513,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",513,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",513,"stock","UNIT",1
"WINDOWPANE","172746","125",513,"stock","GBGOM",1
"WINTER FLD","172905","120",513,"stock","GOM",1
"WITCH FLD","172873","122",513,"stock","UNIT",1
"WOLFFISH","171341","512",513,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",513,"stock","CCGOM",1
"ALEWIFE","161706","001",514,"stock","UNIT",1
"AM SHAD","161702","347",514,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",514,"stock","UNIT",1
"BLACK SEA BASS","167687","335",514,"stock","UNIT",1
"BLUEFISH","168559","023",514,"stock","UNIT",1
"BUTTERFISH","172567","051",514,"stock","UNIT",1
"CHUB MACKEREL","172413","215",514,"stock","UNIT",1
"CLAM, SURF","080944","769",514,"stock","UNIT",1
"COD","164712","081",514,"stock","GOM",1
"DOGFISH, SPINY","160617","352",514,"stock","UNIT",1
"FLUKE","172735","121",514,"stock","UNIT",1
"HADDOCK","164744","147",514,"stock","GOM",1
"HAKE, WHITE","164732","153",514,"stock","UNIT",1
"HALIBUT","172933","159",514,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",514,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",514,"stock","UNIT",1
"MONKFISH","164499","012",514,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,514,"stock","UNIT",1
"OCEAN POUT","630979","250",514,"stock","UNIT",1
"POLLOCK","164727","269",514,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",514,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",514,"stock","UNIT",1
"RED CRAB","620992","710",514,"stock","UNIT",1
"RED HAKE","164730","152",514,"stock","NORTHERN",1
"REDFISH","166774","240",514,"stock","UNIT",1
"SCALLOP, SEA","079718","800",514,"stock","UNIT",1
"SCUP","169182","329",514,"stock","UNIT",1
"SILVER HAKE","164791","509",514,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",514,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",514,"stock","UNIT",1
"SKATE, LITTLE","564130","366",514,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",514,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",514,"stock","UNIT",1
"SKATE, THORNY","564149","370",514,"stock","UNIT",1
"SKATE, WINTER","564145","367",514,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",514,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",514,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",514,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",514,"stock","UNIT",1
"WINDOWPANE","172746","125",514,"stock","GBGOM",1
"WINTER FLD","172905","120",514,"stock","GOM",1
"WITCH FLD","172873","122",514,"stock","UNIT",1
"WOLFFISH","171341","512",514,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",514,"stock","CCGOM",1
"ALEWIFE","161706","001",515,"stock","UNIT",1
"AM SHAD","161702","347",515,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",515,"stock","UNIT",1
"BLACK SEA BASS","167687","335",515,"stock","UNIT",1
"BLUEFISH","168559","023",515,"stock","UNIT",1
"BUTTERFISH","172567","051",515,"stock","UNIT",1
"CHUB MACKEREL","172413","215",515,"stock","UNIT",1
"CLAM, SURF","080944","769",515,"stock","UNIT",1
"COD","164712","081",515,"stock","GOM",1
"DOGFISH, SPINY","160617","352",515,"stock","UNIT",1
"FLUKE","172735","121",515,"stock","UNIT",1
"HADDOCK","164744","147",515,"stock","GOM",1
"HAKE, WHITE","164732","153",515,"stock","UNIT",1
"HALIBUT","172933","159",515,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",515,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",515,"stock","UNIT",1
"MONKFISH","164499","012",515,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,515,"stock","UNIT",1
"POLLOCK","164727","269",515,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",515,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",515,"stock","UNIT",1
