SPECIES_ITIS,AREA_NAME,COMMON_NAME,CAMS_GEAR_GROUP,Discard_Mortality_Ratio
164499,NORTHERN,MONKFISH,132,1
164499,SOUTHERN,MONKFISH,132,1
630979,GB_SNE,OCEAN POUT,50,1
630979,GOM,OCEAN POUT,50,1
630979,MA,OCEAN POUT,50,1
630979,GB_SNE,OCEAN POUT,54,1
630979,GOM,OCEAN POUT,54,1
630979,MA,OCEAN POUT,54,1
630979,GB_SNE,OCEAN POUT,57,1
630979,GOM,OCEAN POUT,57,1
630979,MA,OCEAN POUT,57,1
630979,GB_SNE,OCEAN POUT,100,1
630979,GOM,OCEAN POUT,100,1
630979,MA,OCEAN POUT,100,1
630979,GB_SNE,OCEAN POUT,132,1
630979,GOM,OCEAN POUT,132,1
630979,MA,OCEAN POUT,132,1
164793,NORTHERN,OFFSHORE HAKE,10,1
164793,SOUTHERN,OFFSHORE HAKE,10,1
164793,NORTHERN,OFFSHORE HAKE,50,1
164793,SOUTHERN,OFFSHORE HAKE,50,1
164793,NORTHERN,OFFSHORE HAKE,58,1
164793,SOUTHERN,OFFSHORE HAKE,58,1
164793,NORTHERN,OFFSHORE HAKE,100,1
164793,SOUTHERN,OFFSHORE HAKE,100,1
164793,NORTHERN,OFFSHORE HAKE,132,1
164793,SOUTHERN,OFFSHORE HAKE,132,1
164727,MA,POLLOCK,10,1
164727,NE,POLLOCK,10,1
164727,MA,POLLOCK,50,1
164727,NE,POLLOCK,50,1
164727,MA,POLLOCK,58,1
164727,NE,POLLOCK,58,1
164727,MA,POLLOCK,100,1
164727,NE,POLLOCK,100,1
164727,MA,POLLOCK,121,1
164727,NE,POLLOCK,121,1
164727,MA,POLLOCK,132,1
164727,NE,POLLOCK,132,1
164727,MA,POLLOCK,170,1
164727,NE,POLLOCK,170,1
81496,MA,"QUAHOG, HARD SHELL CLAM",50,1
81496,NE,"QUAHOG, HARD SHELL CLAM",50,1
81496,S_700s,"QUAHOG, HARD SHELL CLAM",50,1
81496,MA,"QUAHOG, HARD SHELL CLAM",52,1
81496,NE,"QUAHOG, HARD SHELL CLAM",52,1
81496,S_700s,"QUAHOG, HARD SHELL CLAM",52,1
81496,MA,"QUAHOG, HARD SHELL CLAM",132,1
81496,NE,"QUAHOG, HARD SHELL CLAM",132,1
81496,S_700s,"QUAHOG, HARD SHELL CLAM",132,1
81496,MA,"QUAHOG, HARD SHELL CLAM",386,1
81496,NE,"QUAHOG, HARD SHELL CLAM",386,1
81496,S_700s,"QUAHOG, HARD SHELL CLAM",386,1
81496,MA,"QUAHOG, HARD SHELL CLAM",400,1
81496,NE,"QUAHOG, HARD SHELL CLAM",400,1
81496,S_700s,"QUAHOG, HARD SHELL CLAM",400,1
81343,MA,"QUAHOG, OCEAN (BLACK CLAM)",50,1
81343,NE,"QUAHOG, OCEAN (BLACK CLAM)",50,1
81343,S_700s,"QUAHOG, OCEAN (BLACK CLAM)",50,1
81343,MA,"QUAHOG, OCEAN (BLACK CLAM)",52,1
81343,NE,"QUAHOG, OCEAN (BLACK CLAM)",52,1
81343,S_700s,"QUAHOG, OCEAN (BLACK CLAM)",52,1
81343,MA,"QUAHOG, OCEAN (BLACK CLAM)",132,1
81343,NE,"QUAHOG, OCEAN (BLACK CLAM)",132,1
81343,S_700s,"QUAHOG, OCEAN (BLACK CLAM)",132,1
81343,MA,"QUAHOG, OCEAN (BLACK CLAM)",386,1
81343,NE,"QUAHOG, OCEAN (BLACK CLAM)",386,1
81343,S_700s,"QUAHOG, OCEAN (BLACK CLAM)",386,1
81343,MA,"QUAHOG, OCEAN (BLACK CLAM)",400,1
81343,NE,"QUAHOG, OCEAN (BLACK CLAM)",400,1
81343,S_700s,"QUAHOG, OCEAN (BLACK CLAM)",400,1
620992,UNIT,RED CRAB,50,1
620992,UNIT,RED CRAB,58,1
620992,UNIT,RED CRAB,100,1
620992,UNIT,RED CRAB,200,1
164730,NORTHERN,RED HAKE,10,1
164730,SOUTHERN,RED HAKE,10,1
164730,NORTHERN,RED HAKE,50,1
164730,SOUTHERN,RED HAKE,50,1
164730,NORTHERN,RED HAKE,58,1
164730,SOUTHERN,RED HAKE,58,1
164730,NORTHERN,RED HAKE,100,1
164730,SOUTHERN,RED HAKE,100,1
164730,NORTHERN,RED HAKE,132,1
164730,SOUTHERN,RED HAKE,132,1
166774,MA,REDFISH,10,1
166774,NE,REDFISH,10,1
166774,MA,REDFISH,40,1
166774,NE,REDFISH,40,1
166774,MA,REDFISH,50,1
166774,NE,REDFISH,50,1
166774,MA,REDFISH,52,1
166774,NE,REDFISH,52,1
166774,MA,REDFISH,56,1
166774,NE,REDFISH,56,1
